PCA,LDA,CA,Chi2,RFE,VT,NoReduction
0.9821033932427081,0.9546783450848239,0.9456970466814862,0.927816491577359,0.9369182340342612,0.9378783579207182,0.9116838304071149
0.9436221311410142,0.9529119369471538,0.8857583749052298,0.9447495899966607,0.9357446703305952,0.9436221311410142,0.9432071674821982
0.9106850464259193,0.9356719204143853,0.9091882531701792,0.9025833697077132,0.9007853967776753,0.9126908789584326,0.9307372004779038
0.952215918514937,0.9614864864864865,0.9321670440906893,0.9129214913323815,0.9241552756673526,0.9037162162162162,0.8669996002228157
0.9318171642586899,0.9232653332474723,0.9031769702207397,0.8891821757961775,0.9433536962742051,0.871751270173321,0.9036293679437445
0.9369182340342612,0.9648348401006841,0.9283395427374073,0.9369182340342612,0.9552196370316242,0.954964856744372,0.9460227272727273
0.92154101485897,0.9475959012986293,0.9035115169652409,0.9386640039647478,0.9133788592572051,0.9211174438061578,0.8508394029186331
0.9418939581735308,0.9418939581735308,0.9613892798576573,0.9327401799463654,0.9620189806290846,0.9232653332474723,0.9128159551830837
0.9452452680522145,0.9546524648361989,0.9453324808184143,0.9177625139526924,0.9360690686409382,0.9360690686409382,0.9272392063267668
0.9344441156347826,0.9330656158735169,0.952215918514937,0.9330656158735169,0.9128159551830837,0.9418939581735308,0.912538740096132
0.9314554973040049,0.9411535612646289,0.9145808598781296,0.8897259134640884,0.9086398147560875,0.8954153213436176,0.8978011491257337
0.9407894736842105,0.9605263157894737,0.9504200293927911,0.9305485575078152,0.9706787243316417,0.9203027620236464,0.9223986364894046
0.9369182340342612,0.9641135598940882,0.9553075151937314,0.9283395427374073,0.9553075151937314,0.9460064600214235,0.9460064600214235
0.9170169523760887,0.9497201376947693,0.9224768156202892,0.8703002197504786,0.9139323183685317,0.8829346506114936,0.8860673524276568
0.9163114515621609,0.9619111259605746,0.952215918514937,0.9139323183685317,0.9330656158735169,0.9330656158735169,0.9618419119468566
0.9118438837901865,0.9214081721856466,0.8935498658130846,0.8830769230769231,0.9025641025641026,0.8922322702763681,0.9312776812079784
0.9148301690780056,0.9350849901215303,0.9249299557060328,0.9330656158735169,0.9148301690780056,0.9238222519211494,0.9618419119468566
0.9077177531501004,0.9613892798576573,0.9702915012777673,0.910677085622839,0.9504200293927911,0.9303159191048844,0.9013157894736843
0.9460227272727273,0.9730114794544829,0.9553075151937314,0.9283395427374073,0.9460064600214235,0.9283395427374073,0.873578060530765
0.9077767992412048,0.9356719204143853,0.9633162916109747,0.8984684755250669,0.9077767992412048,0.9082125603864735,0.9356719204143853
0.973918696066407,0.9553075151937314,0.9553075151937314,0.9730114794544829,0.9196183996041702,0.9730114794544829,0.9369182340342612
0.9516647423709753,0.9510671108178232,0.951166700486987,0.8819173940276822,0.9314554973040049,0.9220512820512821,0.8978011491257337
0.9536160051686244,0.9723664963257207,0.9437863258697103,0.9350278582997448,0.9344298273300885,0.9344441156347826,0.9262899633644615
0.9129214913323815,0.9415384615384615,0.9414751004220616,0.9411535612646289,0.9510671108178232,0.9510671108178232,0.9510671108178232
0.9242646597013313,0.9527233095226311,0.9425773755539033,0.9350849901215303,0.9183340730473337,0.9233128391609499,0.9233128391609499
0.9214081721856466,0.9608989503436111,0.951166700486987,0.9214081721856466,0.9214081721856466,0.9220512820512821,0.9113886619289696
0.925911880734654,0.9723664963257207,0.9534053059802516,0.8987949435138183,0.9422297297297297,0.925911880734654,0.9241552756673526
0.9355734854717404,0.9543589412770923,0.9360690686409382,0.9288105188581899,0.918959436249694,0.9025833697077132,0.9077767992412048
0.9102593457359043,0.9337767393003182,0.9329885886970514,0.9249299557060328,0.9266052500805311,0.9266052500805311,0.8892096341565168
0.9220512820512821,0.9312776812079784,0.9425708371198286,0.8635897435897436,0.9016627831066644,0.9016627831066644,0.9118438837901865
0.925911880734654,0.9444805194805195,0.944317519497424,0.8978011491257337,0.9163114515621609,0.8978515645619854,0.9163114515621609
0.9274170381883113,0.954964856744372,0.9094331217922783,0.927816491577359,0.927816491577359,0.9369182340342612,0.9274170381883113
0.9565685167591244,0.9814935064935064,0.9444805194805195,0.888961038961039,0.8918442453741304,0.8901534150587784,0.8987098051868269
0.9437863258697103,0.9534053059802516,0.9439895185063871,0.8978515645619854,0.9534053059802516,0.9060735855423552,0.8775605445983754
0.9329885886970514,0.9717636861923098,0.9029033148052782,0.9329885886970514,0.9603684421896255,0.9407894736842105,0.9504200293927911
0.9238222519211494,0.9337767393003182,0.9429623861957155,0.9425773755539033,0.9233128391609499,0.952215918514937,0.9425773755539033
0.9214081721856466,0.9510671108178232,0.9220512820512821,0.9516647423709753,0.9516647423709753,0.9425773755539033,0.9529119369471538
0.9330656158735169,0.922972972972973,0.9422478981246869,0.8987949435138183,0.8965217349438444,0.8756147079492567,0.8669996002228157
0.8829346506114936,0.9489636603785658,0.9391025641025641,0.9497201376947693,0.9094150310145777,0.938550505646746,0.9188034188034189
0.9434523809523809,0.9716698797449438,0.9457724139071517,0.944317519497424,0.9629945833701035,0.9337767393003182,0.9241552756673526
0.9425773755539033,0.9322931168516784,0.9337463984126417,0.9040483027679964,0.9529119369471538,0.9233128391609499,0.9529119369471538
0.9807432432432432,0.9344441156347826,0.9322931168516784,0.9310577812901779,0.9363984369468832,0.9282182654574211,0.9447897790253813
0.9439895185063871,0.944803127487718,0.8993175385109391,0.9442303152135421,0.9253193580085162,0.9534053059802516,0.9253193580085162
0.9060817231726052,0.961025641025641,0.9415384615384615,0.919532214693755,0.9337463984126417,0.9425773755539033,0.9357821633638691
0.9805128205128205,0.9805128205128205,0.9633046112340106,0.9312776812079784,0.9411535612646289,0.9516647423709753,0.9233128391609499
0.9716698797449438,0.9436221311410142,0.9436221311410142,0.8761247874782649,0.9241552756673526,0.9251888441403261,0.9056280982839915
0.9444805194805195,0.9629945833701035,0.9256404556247447,0.9366939948426392,0.9164397114308651,0.9350278582997448,0.9366939948426392
0.9085173660565904,0.9484895284651105,0.9256404556247447,0.9171416453292836,0.9100918940557688,0.9085173660565904,0.9074675324675325
0.882031769976667,0.9546524648361989,0.8833515996202599,0.8808725630691858,0.9271099744245525,0.92110706791039,0.9097922602760942
0.9234425902829548,0.9329885886970514,0.9523761374446806,0.9233128391609499,0.9238222519211494,0.9234425902829548,0.9425773755539033
0.8978011491257337,0.9706787243316417,0.9357821633638691,0.9510671108178232,0.9233128391609499,0.9145808598781296,0.9060817231726052
0.8999655316031473,0.9321423237219506,0.9203364037383537,0.9112322112837918,0.9308202184276646,0.8897897214345536,0.9321423237219506
0.9129214913323815,0.9706787243316417,0.9710363678902723,0.9425773755539033,0.9618419119468566,0.9710363678902723,0.9425773755539033
0.9681408379492694,0.9583492485141056,0.9561585572532874,0.9561585572532874,0.9489216103563047,0.9665479410405882,0.9561585572532874
0.9351114551260624,0.9613892798576573,0.9543075487345651,0.9459412925079224,0.9629100498862757,0.9436221311410142,0.9629100498862757
0.9463286488838567,0.9554437000258644,0.947971394488311,0.9028784219851432,0.9206662376731007,0.9206662376731007,0.9290444337780842
0.9546783450848239,0.9546783450848239,0.9460064600214235,0.9360690686409382,0.8916851604034296,0.9546783450848239,0.9472476615345036
0.9554437000258644,0.9911083221088062,0.9646809113377939,0.9201707468916138,0.9736451582085028,0.9552196370316242,0.928414442700157
0.9737906836782446,0.9393839500091044,0.9199221950419549,0.9337367220995858,0.9492711328705105,0.9492711328705105,0.9492711328705105
0.893198650847295,0.9558345207994814,0.964515915240117,0.9734143517674383,0.9400417580689087,0.9732980954189004,0.9470765945445794
0.9154829252893135,0.9534053059802516,0.9807432432432432,0.9154829252893135,0.9330656158735169,0.9070339824439267,0.9070339824439267
