PCA,LDA,CA,Chi2,RFE,VT,NoReduction
0.8922322702763681,0.8367876570272816,0.8535533905932737,0.7860387767736776,0.8571428571428572,0.8337119062359573,0.8813850356982369
0.8445604810968458,0.6938437795214583,0.7959982656402433,0.7159090909090909,0.7558408596267325,0.7417345956385244,0.7417345956385244
0.8113636363636363,0.8090909090909091,0.8337119062359573,0.8165270824738287,0.7896254117555905,0.8165270824738287,0.8248940790279389
0.8329551977662695,0.6864242596248112,0.8808460138833356,0.7837905871272288,0.7837905871272288,0.8683238139761313,0.8683238139761313
0.951938453788867,0.7310462138646217,0.7494700264914546,0.6988529196671015,0.7259344597233847,0.9011764705882352,0.9013213469645138
0.8000871333158077,0.7108185106778919,0.7295101242196987,0.7797154638927579,0.7494700264914546,0.763523138347365,0.7925925925925925
0.763100680279217,0.7345376753117594,0.7116704805491991,0.7875167888839888,0.8797531214579488,0.7830886905413801,0.8074543873424751
0.8727496582054874,0.6918806447200494,0.8689323936863109,0.8102003486344046,0.8727496582054874,0.9013213469645138,0.8727496582054874
0.8330434989426982,0.7150378077019451,0.794174202707276,0.7837905871272288,0.7547623326825341,0.7980769230769231,0.8042994529263601
0.8165270824738287,0.7485656794997484,0.7683599177495504,0.7614788942175106,0.8096460589417889,0.864694247198107,0.8367876570272816
0.8080616184861622,0.7968978949580328,0.7406088697557266,0.8263888888888888,0.8452301104163171,0.8263888888888888,0.8263888888888888
0.8337119062359573,0.667427705632229,0.6697749375254332,0.8095238095238095,0.6906925178491184,0.763100680279217,0.7860387767736776
0.8757646803820504,0.8132072416528331,0.7475961538461539,0.7980769230769231,0.8727496582054874,0.8990384615384616,0.8990384615384616
0.928746462856272,0.9011764705882352,0.851764705882353,0.9013213469645138,0.8772968873135194,0.9011764705882352,0.9013213469645138
0.9068181818181817,0.7850643816492033,0.8813850356982369,0.9045454545454545,0.8590909090909091,0.8813850356982369,0.8590909090909091
0.8337119062359573,0.6906925178491184,0.7886751345948129,0.7886751345948129,0.810937167602711,0.7667891875399663,0.8337119062359573
0.9059803883903454,0.7959982656402433,0.8337119062359573,0.7867483198389857,0.7641225246773891,0.7867483198389857,0.7641225246773891
0.810937167602711,0.7383656473113981,0.8367876570272816,0.7619047619047619,0.8813850356982369,0.7860387767736776,0.8095238095238095
0.8570714214271424,0.8578132236660672,0.7830886905413801,0.8314209059996645,0.8165270824738287,0.7590518155451818,0.8080616184861622
0.8813850356982369,0.647087101353638,0.7667891875399663,0.6924500897298753,0.7667891875399663,0.8367876570272816,0.8587736549262048
0.8290658197465823,0.758725767461781,0.7761073959850533,0.8258212734958285,0.8507042401401608,0.8258212734958285,0.8507042401401608
0.7367785320221084,0.7099971475810868,0.7602830511530061,0.758725767461781,0.7875167888839888,0.7648482274410309,0.8102003486344046
0.8541666666666667,0.7614788942175106,0.7347564750830957,0.8541666666666667,0.7800560168056019,0.8290658197465823,0.8290658197465823
0.9059803883903454,0.8165270824738287,0.8541666666666667,0.7777777777777778,0.7886751345948129,0.7405626121623441,0.8452301104163171
