PCA,LDA,CA,Chi2,RFE,VT,NoReduction
0.703278025716763,0.703278025716763,0.6824617766491526,0.6740618402371287,0.6908617130611766,0.694847724057789,0.6760423691502047
0.676595720805794,0.6520754268023724,0.6820841758313233,0.6611236711259069,0.6478539731627622,0.6656736686568935,0.6590420904163431
0.6650113913179554,0.6555617271519303,0.6495827067163905,0.6578963297808619,0.6412690836519193,0.6662099528453332,0.6849922572074523
0.7000377602060429,0.6934932455533181,0.6934932455533181,0.7131280060165442,0.7067477915661556,0.6184902993071472,0.683180467567105
0.6698260297962755,0.6673436291863564,0.6505612022759935,0.6610888448021023,0.6874942878448997,0.6795604289840395,0.6543392401023413
0.6245418889065544,0.6144172033595899,0.5979044117295427,0.618286517437512,0.6280581591042829,0.6315587028960543,0.6262924855974349
0.6591451899264487,0.6489733873267332,0.6434940499034267,0.6572010655628879,0.6439597949038044,0.6484222784898723,0.6414966968278479
0.7339001953724906,0.7404401050262397,0.7321038084919634,0.7284074740907924,0.7082016841527674,0.7412357718262753,0.7184872099904981
0.6749118354949347,0.6899110988208217,0.6763612402998542,0.6829683806450044,0.6760593733354914,0.6851795159068114,0.6663019988438457
0.7033179953848113,0.7073870945176922,0.7158484270984785,0.7115278110455767,0.7073870945176922,0.6749254892956489,0.6907457434439971
0.6773989002735058,0.6952122935541245,0.6963842982497599,0.7052337437405111,0.6873577374982484,0.6963085125238367,0.6922291332690699
0.6788497007856831,0.7077469539010637,0.6822587174684385,0.6590734162577728,0.6471889095107766,0.7174889104584276,0.6681550014649319
0.6643405707179175,0.6561848632904985,0.6547403635619586,0.6634113139843358,0.6740610988457846,0.658847730273387,0.658847730273387
0.6101982786967413,0.5875175052517506,0.6051496979078894,0.6085521053581054,0.6101982786967413,0.6101982786967413,0.6101407276973634
0.6641240191725969,0.6819284867245367,0.6850378901774038,0.6704902397314858,0.6704902397314858,0.6910144125280511,0.6365373633082616
0.7037801391557772,0.6710077588562386,0.6756718200924308,0.6673229652330434,0.6729011129150699,0.681217875308453,0.6846732159953002
0.677891073574536,0.7132506209891927,0.651986924399379,0.706215285805526,0.6795604289840395,0.6846571467716909,0.7115222859581818
0.6972414919733576,0.7295861462704071,0.7008824434808859,0.6874072241464622,0.7215938032123912,0.7307734492566635,0.7264726531436776
0.6826061569391836,0.7009540541049492,0.6821533684671722,0.7216220933109383,0.6961346447324367,0.7044900163505461,0.7219277497212169
0.6230268147014997,0.6319779688891932,0.608719851144899,0.6380782966421605,0.6152535606471623,0.6267199206129821,0.6144172033595899
0.6948675272243281,0.6867620131912286,0.6743784403752514,0.6948675272243281,0.6910125797534242,0.6826460051903405,0.6991354175528159
0.6587887828457274,0.6745311807953774,0.6219530260159885,0.6540277408077729,0.6466862249615195,0.6414637996660143,0.6357473772393059
0.6787986679568198,0.668035999012599,0.6684766254441638,0.6917776194738808,0.6796052341757858,0.6750025958697861,0.6904363941557474
